discipline_id,name,description,year,study_year_id
1iqc4pnfj-qboqeu,Tehnici de Programare pe Platforme Mobile,Tehnici de Programare pe Platforme Mobile,3,1iqc11195-aocb6h
1iqc4pnfl-17d0irb,Tehnici de procesarea limbajului natural,Tehnici de procesarea limbajului natural,3,1iqc11195-aocb6h
1iqc4pnfu-2ear1l,Tehnologii Web,Tehnologii Web,2,1iqc11195-aocb6h
1iqc4png1-17a79dj,Topici avansate in .NET,Topici avansate in .NET,3,1iqc11195-aocb6h
1iqc4png5-191r8tq,Tutoriat,Tutoriat,2,1iqc11195-aocb6h
1iqc4png5-1dceolv,Tutoriat,Tutoriat,3,1iqc11195-aocb6h
1iqc4png5-rk4c1a,Tutoriat,Tutoriat,2,1iqc11195-um9bao
1iqc4png7-1ic1jju,Tutoriat,Tutoriat,1,1iqc11195-1obnk7m
1iqc4png7-1h1f2bl,Tutoriat,Tutoriat,1,1iqc11195-aocb6h
1iqc4pnga-1lg8mak,Web Technologies,Web Technologies,2,1iqc11195-aocb6h
